Date;Type;Valeur;Note;ISIN;Parts;Frais;Impôts / Taxes;ISIN2;Parts2
2024-09-12T08:55:21;Dividendes;0.16;Microsoft;US5949181045;0.27361;;0.03;;
2024-09-16T08:12:38;Dividendes;0.34;Alphabet (A);US02079K3059;2.185643;;0.06;;
2024-09-23T08:23:26;Dividendes;0.63;BlackRock;US09247X1019;0.165147;;0.12;;
2024-09-26T08:21:55;Dividendes;0.17;Meta Platforms (A);US30303M1027;0.470248;;0.04;;
2024-09-30T12:15:03;Dividendes;0.34;Broadcom;US11135F1012;0.81269;;0.05;;
2024-10-01T05:59:23;Intérêts;0.03;Zinsen;;;;;;
2024-10-02T11:21:44;SWAP;0;BlackRock;US09247X1019;0.165147;;;US09290D1019;0.165147
2024-10-03T08:01:11;Dividendes;0.01;NVIDIA;US67066G1040;0.96759;;;;
2024-11-01T06:52:59;Intérêts;0.04;Zinsen;;;;;;
2024-11-14T14:23:38;Dividendes;0.35;Apple;US0378331005;1.816277;;0.07;;
2024-12-01T15:33:24;Intérêts;0.03;Zinsen;;;;;;
2024-12-02T18:27:11;Dividendes;0.19;Visa;US92826C8394;0.393364;;0.03;;
2024-12-10T10:22:26;Dividendes;0.76;Tractor Supply;US8923561067;0.857565;;0.13;;
2024-12-12T10:07:40;Dividendes;0.19;Microsoft;US5949181045;0.27361;;0.03;;
2024-12-16T10:48:53;Dividendes;0.35;Alphabet (A);US02079K3059;2.185643;;0.07;;
2024-12-20T08:02:21;SPLIT;0;Tractor Supply;US8923561067;3.43026;;;;
2024-12-23T12:53:45;Dividendes;0.68;BlackRock;US09290D1019;0.165147;;0.13;;
2024-12-27T13:57:38;Dividendes;0.19;Meta Platforms (A);US30303M1027;0.470248;;0.04;;
2024-12-27T14:58:41;Dividendes;0.01;NVIDIA;US67066G1040;0.96759;;;;
2024-12-31T09:56:18;Dividendes;0.39;Broadcom;US11135F1012;0.81269;;0.07;;
2025-01-01T05:58:08;Intérêts;0.04;Zinsen;;;;;;
2025-01-16T16:34:28;Dividendes;0.08;Walt Disney;US2546871060;0.1977;;0.02;;
2025-02-01T10:56:12;Intérêts;0.04;Zinsen;;;;;;
2025-02-13T13:06:31;Dividendes;0.36;Apple;US0378331005;1.816277;;0.07;;
2025-02-17T15:15:44;Achat;-20.0;Broadcom;US11135F1012;0.0906;;;;
2025-03-01T11:04:22;Intérêts;0.03;Zinsen;;;;;;
2025-03-03T16:09:01;Dividendes;0.19;Visa;US92826C8394;0.393364;;0.03;;
2025-03-11T11:28:59;Dividendes;0.77;Tractor Supply;US8923561067;4.287825;;0.14;;
2025-03-13T08:49:36;Dividendes;0.18;Microsoft;US5949181045;0.27361;;0.03;;
2025-03-17T11:18:03;Dividendes;0.34;Alphabet (A);US02079K3059;2.185643;;0.06;;
2025-03-24T07:23:21;Dépôt;10.0;Maxime Farré;;;;;;
